account,bond,claimable,pending
1,xrune,3460869082974804728199,9026784253977059802294
2,xrune,3478466721243213129405,9091653740834326004718
3,xrune,3479646659388371040736,9082867813595330307326
4,xrune,10332664750478439170775,15950393254829328760074
5,xrune,2644753371620042830476,6923438145602206362503
6,xrune,3059953333399545725187,8044041360146019256538
7,xrune,3305769797555071891534,21691402871096272254161
8,xrune,3425194375112106922404,9016042050834711562003
9,xrune,7295928264221857990369,9386245033091287778682
10,xrune,10401377722405375328006,16088751310758507854611
